"","state","reported_rape_cases","rape_arrests","sex_offense_arrests","avg_salary","score.x","score.y","policing_correction_spend_per_capita","policing_correction_expenditure","correction_spending_per"
"1","Alabama",1040,10,15,54095,39.81,26.5,477,2340,"61%"
"2","Alaska",1387,160,242,72010,33.05,81.4,1030,754,"86%"
"3","Arizona",3545,324,1060,50782,35.11,84.4,655,4764,"63%"
"4","Arkansas",2699,281,77,50456,47.22,21.2,422,1274,"73%"
"5","California",18116,2060,7258,84531,43.17,91.6,981,38763,"74%"
"6","Colorado",4719,472,339,57706,52.62,55.5,664,3821,"65%"
"7","Connecticut",800,188,291,78427,66.22,33.3,564,2010,"55%"
"8","Delaware",459,74,99,64853,60.05,74.1,774,754,"93%"
"9","District of Columbia",522,3,30,79350,47.65,86.4,1337,944,"39%"
"10","Florida",10934,1819,2921,49102,55.35,100,704,15112,"50%"
"11","Georgia",2807,306,374,60578,46.07,42.4,491,5217,"71%"
"12","Hawaii",678,106,84,65409,42.42,20.6,549,777,"43%"
"13","Idaho",1225,147,198,52875,45.22,68.3,576,1029,"90%"
"14","Illinois",4834,15,14,68083,53.23,47,633,8025,"41%"
"15","Indiana",2539,152,285,51745,53.52,11,407,2740,"71%"
"16","Iowa",1650,270,93,58184,54.25,3.8,441,1391,"52%"
"17","Kansas",1469,125,128,51320,47.2,39.8,553,1610,"52%"
"18","Kentucky",2010,226,177,53907,53.94,0,390,1741,"113%"
"19","Louisiana",2426,371,750,51566,34.09,33,526,2445,"61%"
"20","Maine",672,62,112,55276,56.09,9.5,425,572,"74%"
"21","Maryland",2177,122,52,73444,60.67,91.9,842,5093,"68%"
"22","Massachusetts",2286,283,300,84290,72.79,23.1,597,4117,"69%"
"23","Michigan",7835,761,486,63568,44.12,38.1,550,5490,"88%"
"24","Minnesota",2900,515,541,58663,55.21,41.5,633,3571,"48%"
"25","Mississippi",737,75,100,46843,38.65,16.7,446,1327,"68%"
"26","Missouri",3287,413,376,50817,46.32,32.7,480,2947,"50%"
"27","Montana",717,62,118,52135,51.55,55.1,608,649,"74%"
"28","Nebraska",1412,203,213,55267,58.12,42,611,1182,"102%"
"29","Nevada",2424,360,765,56672,44.01,98.6,756,2328,"58%"
"30","New Hampshire",626,71,100,59622,59.19,42,525,714,"45%"
"31","New Jersey",1640,328,778,76376,64.05,59.1,691,6136,"54%"
"32","New Mexico",1192,48,19,54256,26.07,74.5,759,1591,"108%"
"33","New York",6674,701,1107,87069,54.86,62.3,904,17594,"59%"
"34","North Carolina",3336,201,369,54150,49.02,50,549,5760,"59%"
"35","North Dakota",514,51,81,53525,58.42,25.5,574,437,"70%"
"36","Ohio",5224,333,378,61406,47.1,32.6,555,6485,"60%"
"37","Oklahoma",2460,145,320,54096,38.01,39.1,487,1928,"69%"
"38","Oregon",1872,203,324,67685,38.07,52.5,736,3102,"95%"
"39","Pennsylvania",1161,6,14,70339,54.32,50.2,665,8512,"98%"
"40","Rhode Island",497,72,55,75336,55.17,63.7,728,771,"50%"
"41","South Carolina",2985,414,239,53329,37.31,13,431,2219,"57%"
"42","South Dakota",656,36,51,48984,51.19,34.2,478,423,"85%"
"43","Tennessee",3638,342,445,51862,49.18,44.2,515,3520,"54%"
"44","Texas",16510,1769,1136,57090,49.36,44.7,547,15873,"70%"
"45","Utah",2126,291,498,54678,55.53,20.3,484,1553,"68%"
"46","Vermont",304,66,34,61108,56.71,23.3,588,367,"67%"
"47","Virginia",3480,464,495,57665,61.79,65.9,656,5599,"107%"
"48","Washington",3464,521,476,76743,47.56,30.5,608,4627,"82%"
"49","West Virginia",877,91,49,50238,37.18,25.5,492,881,"93%"
"50","Wisconsin",2955,735,992,59431,58.03,51.5,604,3514,"83%"
"51","Wyoming",427,41,76,59786,54.23,49,782,453,"96%"
