"","state","Police_protection","Correction","year","pop","police_correction_per_capita"
"1","Alabama",1297574,771880,2018,4891628,423.060379898063
"2","Alaska",441934,443121,2018,736624,1201.50171593649
"3","Arizona",2398553,1722747,2018,7164228,575.26086551126
"4","Arkansas",721033,507777,2018,3012161,407.949641470028
"5","California",20356461,15537487,2018,39437463,910.148505242338
"6","Colorado",2050122,1405226,2018,5697155,606.504123549386
"7","Connecticut",1226215,616281,2018,3574561,515.446791927736
"8","Delaware",358715,340098,2018,966985,722.672016629007
"9","District of Columbia",627829,252810,2018,704147,1250.64652693259
"10","Florida",8870403,4842769,2018,21254926,645.176181747234
"11","Georgia",2772653,2134771,2018,10519389,466.512266064122
"12","Hawaii",487077,228042,2018,1423102,502.50719906233
"13","Idaho",460685,428929,2018,1752074,507.749101921494
"14","Illinois",5693294,2708608,2018,12724685,660.283692680801
"15","Indiana",1512012,1146573,2018,6698481,396.893713664337
"16","Iowa",837998,441789,2018,3149900,406.294485539224
"17","Kansas",850482,565145,2018,2912748,486.010804916869
"18","Kentucky",773054,900191,2018,4464273,374.807947453034
"19","Louisiana",1555273,920823,2018,4664450,530.844150971712
"20","Maine",311589,236840,2018,1340123,409.2378087683
"21","Maryland",2776640,1890761,2018,6042153,772.473156505636
"22","Massachusetts",2327960,1501681,2018,6885720,556.171467907496
"23","Michigan",2735818,2494905,2018,9987286,523.738180722971
"24","Minnesota",2159896,1153360,2018,5608762,590.728577892947
"25","Mississippi",769490,517344,2018,2982879,431.406704730564
"26","Missouri",1866004,958013,2018,6125986,460.989790051757
"27","Montana",345079,264164,2018,1061818,573.773471536553
"28","Nebraska",529024,528485,2018,1925512,549.209249280191
"29","Nevada",1358095,787853,2018,3030725,708.064242054294
"30","New Hampshire",463221,219086,2018,1355064,503.523818801178
"31","New Jersey",3495443,2041121,2018,8891730,622.66443088128
"32","New Mexico",717209,725365,2018,2093754,688.989250886207
"33","New York",10702712,6224562,2018,19544098,866.106688576776
"34","North Carolina",3317615,2026148,2018,10391358,514.25068792741
"35","North Dakota",234321,174104,2018,760062,537.357478731998
"36","Ohio",3819507,2164131,2018,11680892,512.258652849457
"37","Oklahoma",1026589,734581,2018,3943488,446.602094389535
"38","Oregon",1434948,1374009,2018,4183538,671.430975408853
"39","Pennsylvania",3864430,3721422,2018,12809107,592.223329854298
"40","Rhode Island",475981,241184,2018,1059338,676.993556353119
"41","South Carolina",1322637,782845,2018,5091702,413.512416869644
"42","South Dakota",216577,186522,2018,879386,458.386874478329
"43","Tennessee",2180638,1172621,2018,6778180,494.713772723651
"44","Texas",8513952,6162680,2018,28624564,512.728578154064
"45","Utah",821389,588253,2018,3155153,446.774530426892
"46","Vermont",205888,143420,2018,624802,559.069913348549
"47","Virginia",2555865,2710821,2018,8510920,618.815122219455
"48","Washington",2245330,1774778,2018,7526793,534.106358445091
"49","West Virginia",409341,363783,2018,1805953,428.097519702894
"50","Wisconsin",1865706,1513986,2018,5809319,581.770772099105
"51","Wyoming",219332,205924,2018,579054,734.397828181828
